Formula,Tc,Materials_family
Hg0.66Pb0.34Ba2Ca1.98Cu2.9O8.4,143,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.208,135.8,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.187,135.4,cuprate
Hg1Ba2Ca2Cu3O8.27,135,cuprate
Hg1Ba2Ca2Cu3O8.29,135,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.15,134.7,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.16,134.2,cuprate
Hg1Ba2Ca2Cu3O8.35,134,cuprate
Hg1Ba2Ca2Cu3O8.3,133.5,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.223,133.4,cuprate
Hg1Ba2Ca2Cu3O8.41,133,cuprate
Hg0.75Ba2.07Ca2.07Cu3.11O8.136,132.9,cuprate
Hg0.85Re0.15Ba2Ca2Cu3O8,132.9,cuprate
Hg1Ba2Ca2Cu3O8.25,132,cuprate
Hg0.8Mo0.2Ba2Ca2Cu3O8.4,131.5,cuprate
Hg0.85Re0.15Ba1.66Sr0.34Ca2Cu3O8,131.3,cuprate
Hg0.6Ti0.4Ba2Ca2Cu3O8.4,131,cuprate
Hg0.85Re0.15Ba1.6Sr0.4Ca2Cu3O8,130.3,cuprate
Hg0.7Pb0.3Ba2Ca2Cu3O8.35,130,cuprate
Hg0.8Bi0.2Ba2Ca2Cu3O8.2,130,cuprate
Hg0.85Re0.15Ba1.44Sr0.56Ca2Cu3O8,128.7,cuprate
Hg0.8Nd0.2Ba2Ca2Cu3O8.3,128,cuprate
Hg0.8Mo0.2Ba2Ca1Cu2O6.4,127,cuprate
Hg0.8Ti0.2Ba2Ca1Cu2O6.2,127,cuprate
Hg1Ba2Ca1Cu2O6.21,127,cuprate
Hg1Ba2Ca1Cu2O6.22,127,cuprate
Hg0.8Pb0.2Ba2Ca2Cu3O8.3,125,cuprate
Hg0.8Ge0.2Ba2Ca1Cu2O6.2,124,cuprate
Tl2Ba2Ca4Cu5O14,124,cuprate
Hg0.8V0.2Ba2Ca2Cu3O8.3,123.5,cuprate
Hg1Ba2Ca1Cu2O6.24,123,cuprate
Hg1Ba2Ca1Cu2O6.19,122,cuprate
Tl0.6Pb0.2Bi0.2Sr1.8Ba0.2Ca2Cu3O9,122,cuprate
Hg1Ba2Ca1Cu2O6.16,121,cuprate
Ba2Ca2Cu3F1.2O6.8,120,cuprate
Hg0.6Pb0.4Ba2Ca2Cu3O8.4,120,cuprate
Tl2Ba2Ca5Cu6O16,120,cuprate
B0.6C0.4Sr0.5Ba1.5Ca2Cu3O9,119,cuprate
Tl2Ca2Ba2Cu3O10,118.975,cuprate
Hg1Ba2Ca2Cu3O8.28,118.5,cuprate
Hg0.8W0.2Ba2Ca1Cu2O6.4,118,cuprate
Hg0.9Pb0.1Ba2Ca2Cu3O8.25,118,cuprate
Hg0.9W0.1Ba2Ca1Cu2O6.2,118,cuprate
Tl1.4Ba2Ca2.6Cu3O9.53,118,cuprate
Tl1.4Ba2Ca3Cu4O11.4,118,cuprate
Tl1.6Ba2Ca2.4Cu3O9.67,118,cuprate
Bi1.7Pb0.3Sr2Ca2Cu3F0.8O9.2,117.6,cuprate
Cu4C0.5Ba2Ca3O11,117,cuprate
Tl0.25Li0.25Ba2Ca2Cu3.5O7.955,117,cuprate
Ba2Ca3Cu4O10.35,116,cuprate
Tl0.8Bi0.2Ba2Ca2Cu3O9,116,cuprate
Tl1.7Ba2Ca2.3Cu3O9.82,116,cuprate
Bi0.8Nd0.1Tb0.1Pb1Sr2Ca2Cu3O10,115.25,cuprate
Pb0.5Sr2Ca1Cu2.5O6.8,115,cuprate
Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115,cuprate
Tl0.5Ba2Ca1.5Be1.5Cu4.5O9.887,115,cuprate
Hg0.8Mn0.2Ba2Ca1Cu2O6.2,114,cuprate
Tl1Ba1Ca1Cu2O5.5,114,cuprate
Tl2Ba2Ca2Cu3O9.83,114,cuprate
Tl0.5Pb0.5Sr2Ca2Cu3O9,113.5,cuprate
Bi1.7Pb0.3Sr2Ca2Cu3F0.5O9.5,113,cuprate
Tl0.25Li0.25Ba2Ca2Cu2.5Si1O7.853,113,cuprate
Tl1.62Ba2Ca2.3Cu3O9.92,113,cuprate
Hg0.8Cr0.2Ba2Ca1Cu2O6.1,112.5,cuprate
