,tc,family,cf,order
671985.cif,39.0,others,Mg1B2,order
602516.cif,33.0,others,Cs2Rb1C60,disorder
657331.cif,31.15,others,Cs1Rb2C60,disorder
74368.cif,28.0,others,K3H3C60N1,disorder
657329.cif,27.0,others,Rb2K1C60,disorder
602519.cif,24.0,others,Cs1K2C60,disorder
82339.cif,23.1,others,Bi1Ba0.542K0.458O3,disorder
261540.cif,22.9,others,Hf1Na0.28N1Cl1,disorder
657328.cif,22.4,others,Rb1K2C60,disorder
196899.cif,20.2,others,Nb3Al0.75Ge0.25,disorder
635423.cif,18.2,others,V3Ga0.5Si0.5,disorder
618377.cif,17.9,others,Nb1C0.5N0.5,disorder
291812.cif,17.8,others,Nb1C0.35N0.65,disorder
645513.cif,17.7,others,Zr0.9Nb2.1Sn1,disorder
635621.cif,16.45,others,V1Ga1,disorder
618916.cif,16.4,others,Y1.4Th0.6C2.7,disorder
608716.cif,16.2,others,Nb3Al0.5Sn0.5,disorder
652507.cif,16.708333,others,V3Si1,order
104022.cif,15.3,others,V0.75Ga0.25,disorder
192781.cif,14.7,others,Mo1C0.75,disorder
105101.cif,14.7,others,Mo0.4Tc0.6,disorder
15143.cif,14.6,others,Pb0.92Mo6S7.5,disorder
619114.cif,14.85625,others,Y2C3,order
57865.cif,13.9,others,V3Al0.1Ga0.9,disorder
77223.cif,13.2,others,W0.2Nb0.8C1,disorder
57864.cif,12.9,others,V3Al0.5Ga0.5,disorder
671446.cif,12.9,others,Mg0.5B2Al0.5,disorder
105081.cif,12.75,others,Re0.3Mo0.7,disorder
612206.cif,12.5,others,Pt0.3Au0.7Nb3,disorder
602525.cif,12.0,others,Cs1Li2C60,disorder
53035.cif,11.796667,others,Hf1Ru1P1,order
78872.cif,11.6,others,Y2C2Br0.5I1.5,disorder
91024.cif,11.421667,others,Bi1Sr0.4K0.6O3,disorder
608026.cif,11.17,others,V3Al0.3Ge0.7,disorder
650562.cif,11.165,others,Zr2Rh1,order
618498.cif,11.1,others,Ta0.5Nb0.5C1,disorder
104744.cif,11.0,others,Mg0.1Li0.9,disorder
104229.cif,10.67,others,Hf0.84Nb0.16V2,disorder
628435.cif,10.615,others,Mo6Cu2S8,disorder
618235.cif,10.3,others,Lu0.2Th1.8C3,disorder
198760.cif,10.1,others,Hf0.5Zr0.5V2,disorder
154982.cif,11.872727,others,Li1Ti2O4,order
77414.cif,9.92,others,Ta0.8W0.2C1,disorder
104514.cif,9.8,others,Ir2Nb3,disorder
248787.cif,9.25,others,La1Bi1O0.5S2F0.5,disorder
638675.cif,8.905,others,Hf0.5Nb0.5,disorder
259507.cif,8.86,others,Zr0.6Nb0.4,disorder
33819.cif,8.7,others,Pb0.85Bi0.15Ba1O3,disorder
58827.cif,8.63,others,Pb0.7Bi0.3,disorder
253417.cif,8.6,others,Ta0.25Nb0.25Ti0.5,disorder
281412.cif,8.5,others,Ba7.76Si46,disorder
657556.cif,8.4,others,Ca5C60,disorder
196699.cif,8.3,others,Nb3Si0.5Sn0.5,disorder
58829.cif,8.05,others,Pb0.375Bi0.625,disorder
84513.cif,8.0,others,K2Na1H3C60N1,disorder
24282.cif,7.775,others,Mo1B2.5,order
181483.cif,7.7,others,Re1Hg0.44O3,disorder
253810.cif,7.7,others,W1Rb0.33O3,order
239393.cif,7.666667,others,Na0.33V2O5,disorder
23858.cif,7.6,others,Mo4.8C0.6Si3,disorder
251846.cif,7.5,others,Ba8Ga16Ge30,disorder
618304.cif,7.4,others,Mo3C2,disorder
53567.cif,7.3,others,Nb3Ga0.5Ge0.5,disorder
104763.cif,7.2,others,Pb1Li1,order
650176.cif,7.05,others,Re0.83Ti0.17,order
291700.cif,6.79,others,Ag0.9Sn1.1S0.2Se1.8,disorder
105907.cif,6.75,others,W0.65Re0.35,disorder
108010.cif,6.7,others,Au0.125Sb0.75Te0.125,disorder
77553.cif,6.7,others,W0.5Ti0.5C1,disorder
650177.cif,6.6,others,Re24Ti5,order
191387.cif,6.52,others,Zr2Co0.95Cu0.05,disorder
105228.cif,6.5,others,Nb3Si0.6Sn0.4,disorder
105148.cif,6.45,others,Al0.9Ge0.1,disorder
640204.cif,6.28,others,Pb0.4In0.6,disorder
653296.cif,6.09,others,Ti1V1,disorder
281413.cif,6.0,others,Ba6.63Si46,disorder
638751.cif,5.815,others,Hf1Os1P1,order
43994.cif,5.6,others,Pt3Ba0.67B2,disorder
638956.cif,5.6,others,Hf1Tc2,order
640569.cif,5.5,others,In3Sn1,disorder
638810.cif,5.203333,others,Hf1Re2,order
104655.cif,5.343,others,La1,order
614832.cif,5.09,others,Re1Mo1B1,disorder
186177.cif,5.0,others,Na1C2,order
166382.cif,5.0,others,Sr1Ga1Si1,disorder
710023.cif,4.99,others,Zr1P1.4S0.6,disorder
239116.cif,4.846,others,Bi4O4S3,disorder
672496.cif,9.5,others,Nb1,order
640836.cif,7.9,others,Ir1Nb1,order
104724.cif,4.67,others,La0.5Th0.5Sn3,disorder
192214.cif,4.64,others,Nd1Bi1O0.7S2F0.3,disorder
647766.cif,4.6,others,Sc1Os2,order
53119.cif,4.575,others,Tl2Mo6Se6,order
644439.cif,4.54,others,Mo0.6V2.4Si1,disorder
44650.cif,4.51,others,In0.4Sn0.6Te1,disorder
653405.cif,8.346667,others,Zr1V2,order
612239.cif,4.325,others,Au1Pb3,order
109266.cif,4.3,others,Hf5Re24,order
166381.cif,4.2375,others,Ca1Ga1Si1,disorder
44436.cif,4.14,others,Lu0.5Th0.5Os3B2,disorder
651263.cif,4.1,others,Tl1V6S8,disorder
153880.cif,4.1,others,Y1Bi2Ni0.82,disorder
648950.cif,4.993333,others,Y1Pd2Sn1,order
166383.cif,4.05,others,Ba1Ga1Si1,disorder
648506.cif,4.05,others,Pb1Sb1,disorder
26387.cif,4.0,others,Mo15In3.3Se19,disorder
108126.cif,3.93,others,Bi0.05Sn0.95,disorder
151898.cif,3.9,others,V6In1S8,disorder
639037.cif,3.81,others,Hg0.5In0.5,disorder
108164.cif,3.8,others,Re1Mo1C2,disorder
618713.cif,3.8,others,W1Re1C2,disorder
196227.cif,3.8,others,Ta5B2Ge1,order
656168.cif,3.76,others,Au1Pb2,order
416365.cif,3.7,others,Mo5Ru1Se8,disorder
650868.cif,3.7,others,Ta1S1Se1,disorder
59464.cif,3.675,others,Pb1In1,disorder
57906.cif,3.66,others,Hf1Pd2Al1,order
59555.cif,3.64,others,Tl0.75In0.25,disorder
638584.cif,3.5,others,Hf1Ir1Si1,order
642165.cif,3.5,others,Li3Mo15Se19,disorder
108135.cif,3.4,others,Hf0.5Mo0.5C1,disorder
41810.cif,3.38,others,W1.75Ru1.25B2,disorder
237004.cif,3.32,others,Ir2Cu0.8Zn0.2S4,disorder
644273.cif,3.3,others,Mo3S2Se2,disorder
610652.cif,3.2,others,Hf1Os1As1,order
644115.cif,3.2,others,Pb1Mo6S4Se4,disorder
671780.cif,3.1,others,Hf1B1,order
645279.cif,3.07,others,Nb0.9Rh1.1,disorder
612246.cif,3.02,others,Au0.5Pb2Pd0.5,disorder
617054.cif,2.94,others,Bi0.5Sb0.5,disorder
166390.cif,2.9,others,Ba1Al1Sn1,disorder
153099.cif,2.9,others,Ba8Cu4Si42,disorder
202190.cif,2.891667,others,Li0.9Mo6O17,disorder
645153.cif,2.86,others,Os1Nb1,disorder
291085.cif,2.8,others,Ce0.5Bi1Sr0.5S2F1,disorder
644325.cif,2.8,others,Mo6Zn1S8,disorder
615212.cif,2.78,others,Pt3Sr0.67B2,disorder
180270.cif,2.75,others,Sc2Sr4Ni2As2O6,order
41090.cif,2.75,others,Nb1Sn1.17S3.17,order
641028.cif,2.7,others,Y1Ir1Si1,order
291925.cif,2.68,others,Y1Au1.3Pd0.7In1,disorder
622571.cif,2.6,others,Co2Cu1S4,order
657555.cif,2.5,others,K1Na2C60,disorder
58796.cif,2.4625,others,Bi1Li1,order
251015.cif,2.46,others,Ca1Al0.74Si1.26,disorder
620174.cif,2.4,others,Mo6Cd1Se8,order
649158.cif,2.36,others,Zr2Pd1,order
659383.cif,2.35,others,Ag1In2,order
644856.cif,8.95,others,V1N1,order
638749.cif,2.27,others,Hf1Os2,order
636552.cif,2.2,others,Hf1Ge2,order
104219.cif,2.11,others,Hf0.93Mo0.07,disorder
633003.cif,2.1,others,U6Fe0.5Ni0.5,disorder
426417.cif,2.1,others,Nb3Pd0.7Se7,disorder
625638.cif,2.033333,others,Y4Co3,disorder
102839.cif,2.02,others,Ru1Cr2,disorder
76150.cif,3.94125,others,Te1,order
657554.cif,1.966667,others,Rb1Na2C60,disorder
647817.cif,1.95,others,Ta1Os1,disorder
44432.cif,1.88,others,Y0.5La0.5Rh3B2,disorder
633011.cif,1.85,others,Zr2Fe0.5Ni0.5,disorder
150654.cif,1.85,others,U0.9Mo0.1,disorder
41272.cif,1.8,others,Ta1Bi1.09Se3.09,order
629112.cif,1.8,others,Cu1Se1Te1,disorder
24190.cif,1.8,others,Ir3Te8,disorder
252376.cif,1.8,others,Mo6S8,order
58462.cif,1.79,others,Au0.85Pd0.15Ga2,disorder
645157.cif,1.78,others,Os2Nb3,disorder
648371.cif,1.78,others,Tl1Pb1Pd1,disorder
58396.cif,1.775,others,Au1Be1,order
638828.cif,1.72,others,Hf2Rh1,order
628836.cif,1.625,others,Cu1S1Se1,disorder
612699.cif,1.57,others,Pt3Ca0.67B2,disorder
44575.cif,1.53,others,Y0.5Th0.5Ru3B2,disorder
201695.cif,1.4,others,Br2,order
44644.cif,1.4,others,In4Sb1Te3,disorder
624539.cif,1.37,others,U6Co0.5Ni0.5,disorder
639830.cif,1.3,others,K2Mo15In1Se19,disorder
281728.cif,1.3,others,Na0.5Nb1S2,disorder
108680.cif,1.29,others,W0.4Pd0.6,disorder
104822.cif,1.27,others,Lu0.275Rh0.725,disorder
611867.cif,1.2,others,Au1Ga1,order
657497.cif,1.2,others,I2,order
426369.cif,1.2,others,Nb2Pd0.67Se5,disorder
605669.cif,1.2,others,Th2Pd0.5Ag0.5,disorder
649677.cif,1.19,others,Pt1Sn4,order
638834.cif,1.15,others,Hf1Rh1Si1,order
254472.cif,1.13,others,Pd3Ag2S1,disorder
634320.cif,1.12,others,Hf1Ni2Ga1,order
659574.cif,1.1,others,Bi2Rh1,order
642575.cif,1.1,others,Lu1S1,order
259488.cif,1.04,others,Ta0.8W0.2,disorder
59472.cif,1.0,others,Y1Pb1.5In1.5,disorder
30837.cif,0.96,others,Y1Pd2P2,order
53656.cif,0.87,others,Ir3Ge7,order
638705.cif,0.87,others,Hf2Ni1,order
104265.cif,0.865,others,Hf1Rh1,order
409530.cif,0.84,others,Ba4Na2Ge25,disorder
195011.cif,0.785,others,Ta1Se1.7Te0.3,disorder
604720.cif,0.78,others,Th2Ag0.5Al0.5,disorder
602372.cif,0.71,others,K1V6S8,disorder
602373.cif,0.65,others,Rb1V6S8,disorder
197134.cif,0.64,others,Pd3Sn2,disorder
648840.cif,0.6,others,Pd1Se1Te1,disorder
623774.cif,0.56,others,Hf2Co1,order
43244.cif,0.55,others,Sr2Si3,disorder
102207.cif,0.449,others,La0.5Ce0.5Ru2,disorder
43981.cif,0.44,others,In1As0.5Te0.5,disorder
185000.cif,0.41,others,Pd1Sn1,order
606027.cif,0.385,others,Au0.86Al0.14,disorder
608123.cif,0.37,others,Hf1Ni2Al1,order
602384.cif,0.32,others,Cs1V6S8,disorder
612288.cif,0.29,others,Au1Sb2,order
165332.cif,0.26,others,N1S1,order
670547.cif,0.22,others,Au1In2,order
608019.cif,0.21,others,Th2Al0.5Ge0.5,disorder
634302.cif,0.21,others,Hf2Ga1,order
650522.cif,0.19,others,Rh1V3,order
617200.cif,0.141,others,Tl1Bi1Te2,order
672539.cif,0.52414,others,Cd1,order
102958.cif,0.13,others,Cu0.82Ge0.18,disorder
107717.cif,0.126,others,Ag0.667Al0.333,disorder
673897.cif,0.091333,others,Ir1,order
606036.cif,0.0475,others,Au1Al2,order
10035.cif,4.45,others,V2Cu1S4,order
100599.cif,13.4,others,Mo6S6Br2,order
102779.cif,0.256,others,Ir1Cr3,order
102798.cif,4.25,others,Au1Tl2,order
102802.cif,2.66,others,Pb2Rh1,order
102806.cif,0.38,others,Zr2Ga1,order
102816.cif,0.9,others,Ta2Ni1,order
103816.cif,0.76,others,Mo3Ga1,order
103902.cif,2.87,others,Zr1Ni2Ga1,order
104033.cif,2.0,others,Y1Ga6,order
104303.cif,1.2,others,Hg2K1,order
104313.cif,0.935,others,Hg1Mg1,order
104319.cif,4.0,others,Hg2Mg1,order
104327.cif,1.62,others,Hg2Na1,order
104376.cif,3.28,others,Hg3Zr1,order
104499.cif,5.325,others,Ir1Mo1,order
104602.cif,1.635,others,Y1Ir2,order
104607.cif,2.13,others,Ir1Zr3,order
104609.cif,4.1,others,Ir2Zr1,order
104898.cif,0.88,others,Mg2Zn11,order
105157.cif,5.62,others,Pb3Na1,order
105184.cif,0.663333,others,Os1Nb3,order
105224.cif,13.5,others,Nb1Ru3,order
105479.cif,1.981667,others,Zr2Ni1,order
105590.cif,2.98,others,Pb2Pd1,order
105597.cif,4.13,others,Y1Pb1Pd2,order
105602.cif,7.2,others,Pt1Pb1,order
105625.cif,1.85,others,Pb3Sr1,order
105642.cif,4.72,others,Y1Pb3,order
105675.cif,2.145,others,Sc1Pd2Sn1,order
105891.cif,2.2,others,Sc5Re24,order
105930.cif,0.6,others,Rh1Sn2,order
105977.cif,0.56,others,Y1Rh5,order
106037.cif,0.65,others,V3Sb1,order
106076.cif,6.6925,others,Ta3Sn1,order
106121.cif,2.133333,others,Ta1V2,order
106157.cif,1.161429,others,Th1,order
106218.cif,1.08,others,W2Zr1,order
106236.cif,0.296667,others,Zr1Zn2,order
108108.cif,5.584,others,Bi1In2,order
108145.cif,6.4,others,Ca1Rh2,order
108146.cif,5.075,others,Ir2Ca1,order
108148.cif,0.35,others,Pt2Sr1,order
108149.cif,6.0,others,Ba1Rh2,order
108608.cif,1.97,others,Mo1Rh1,order
1244.cif,4.189,others,Bi3In5,order
15014.cif,1.24,others,Sn4P3,order
15016.cif,0.93,others,Pd1Si1,order
150516.cif,2.23,others,Y1Ru2,order
150517.cif,1.83,others,Y1Re2,order
150518.cif,4.7,others,Y1Os2,order
15058.cif,5.8,others,Mo8P5,order
150755.cif,3.746667,others,Bi1Pd1,order
151402.cif,0.925,others,Mg1Zn1,order
153549.cif,6.0,others,Mg1Al1Si1,order
155044.cif,0.0502,others,Pb2Ag5O6,order
156465.cif,7.61,others,Li2Pd3B1,order
157439.cif,6.318,others,Os2Rb1O6,order
157839.cif,1.0,others,Ca2K1Nb3O10,order
158364.cif,0.41,others,Pd2Sn1,order
160383.cif,4.9,others,Bi1Sn1,order
16075.cif,12.5,others,Nb1P1S1,order
160797.cif,5.17,others,Pt4Ba1Ge12,order
16306.cif,9.733333,others,Zr1Ru1Si1,order
16316.cif,6.233333,others,Mo3Se4,order
163836.cif,2.71,others,La1Ni1As1O1,order
163909.cif,4.0875,others,Ir19Mg10B16,order
164196.cif,0.783333,others,Ba1Ni2As2,order
164763.cif,2.97,others,Mo3Sb7,order
165077.cif,7.5,others,Zr3V3O1,order
165617.cif,3.9,others,Sr1Sn3Sb4,order
168134.cif,0.8825,others,Sr1Ni2Ge2,order
168583.cif,3.075,others,La1Fe4P12,order
168862.cif,1.5,others,Sr1Pd1Ge3,order
168863.cif,1.0,others,Pt1Sr1Ge3,order
169422.cif,2.206,others,In1Te1,order
170218.cif,4.44,others,Bi3Ba2,order
171030.cif,1.0,others,Pd1Sb1Se1,order
173375.cif,1.86,others,B1I3,order
174267.cif,1.875,others,Pt1Ba1Si3,order
180269.cif,3.525,others,Sc2Sr4Ni2P2O6,order
180617.cif,2.0,others,Nb2C1As1,order
180963.cif,2.3,others,Pt1Ca1Si3,order
181157.cif,2.892,others,Sr1Pd2Ge2,order
181258.cif,0.085,others,Cu2Sb1,order
181396.cif,5.083333,others,Pt2Sr1As2,order
182834.cif,7.2,others,Na1Al1Si1,order
183018.cif,1.535,others,Y1Te1,order
183171.cif,1.666667,others,Rh1C1,order
183370.cif,3.0,others,Ni3Zn1N1,order
185377.cif,3.3,others,Ir1Ca1Si3,order
186558.cif,3.1,others,Zr1B1,order
187031.cif,6.7,others,Ag1B2,order
187693.cif,8.2,others,Nb1Si1As1,order
187860.cif,0.235,others,Y1Cu1,order
188287.cif,7.5,others,Nb2In1C1,order
190704.cif,0.92,others,Sr1Pd2As2,order
191273.cif,7.0,others,Pb1Ca1,order
191274.cif,0.65,others,Pb3Ca1,order
191430.cif,0.343333,others,Pt1Al2,order
191902.cif,1.56,others,Ta2B1,order
191907.cif,0.25,others,Mo1B1,order
191914.cif,3.19,others,Re7B3,order
192215.cif,6.125,others,Nb2Pd1S5,order
193616.cif,2.9,others,Y1Fe2Si2,order
194235.cif,6.1,others,Ir4Ba3Ge16,order
194347.cif,1.65,others,Au1Sr1Si3,order
195012.cif,4.8,others,Rb2Cr3As3,order
195017.cif,1.835,others,Pt2Ba1Sb2,order
195266.cif,2.9,others,Nb4Ga1Se8,order
196975.cif,3.005,others,Pt1V3,order
197176.cif,2.133333,others,W2B1,order
197253.cif,1.245,others,Au1Zn3,order
197258.cif,0.46,others,Au1Zr3,order
197275.cif,0.69,others,Zr1Ga3,order
197839.cif,11.0225,others,Os1Mo3,order
198620.cif,15.5,others,Mo1Ni1P1,order
200563.cif,0.0241,others,Rb1C8,order
230026.cif,1.425,others,Eu3Bi2S4F4,order
23005.cif,0.66,others,Sr1Ni2As2,order
23188.cif,7.5,others,Mo2B1C1,order
23247.cif,5.527455,others,Ga1,order
23578.cif,9.0,others,Zr1Ru1Ge1,order
237706.cif,5.936667,others,Mo3P1,order
23786.cif,3.6,others,Ir1Mo2B2,order
23864.cif,0.21,others,Pd4Se1,order
241784.cif,0.004157,others,Pt1,order
246448.cif,2.728,others,Pt3Li2B1,order
246507.cif,3.27,others,Os2Cs1O6,order
251038.cif,5.2,others,Mg4Al1Si3,order
252019.cif,3.75,others,Ir1Li2Si3,order
253703.cif,1.8,others,Bi1Cu1,order
257264.cif,6.09,others,Zr1B12,order
257744.cif,0.69,others,Y1V2Al20,order
259535.cif,4.7,others,Y1B12,order
259588.cif,3.02,others,Cd1Ge1As2,order
261651.cif,4.0,others,Ba1Ge3,order
262509.cif,2.08,others,Ca1Ni1B1N1,order
26251.cif,8.5,others,Nb4N5,order
262736.cif,3.4,others,Ca1Ge3,order
263004.cif,4.25,others,Ca1Si3,order
263005.cif,4.63,others,Y1Si3,order
264386.cif,1.533333,others,Ce1Bi1O1S2,order
26573.cif,23.2,others,Nb3Ge1,order
26597.cif,3.81,others,Sn1O1,order
26619.cif,0.755,others,Rh1Te2,order
27104.cif,1.02,others,La1Se1,order
2734.cif,1.85,others,Li1Cu2P2,order
28445.cif,1.102857,others,Re2Cd2O7,order
291998.cif,6.0,others,Nb4Co1Si1,order
30526.cif,3.5,others,Bi4Te3,order
337.cif,1.48,others,Y3Rh2,order
35593.cif,8.716667,others,Zr1Ru1As1,order
36377.cif,2.0,others,Ba1Pd2As2,order
37186.cif,2.6,others,Ag1Te3,order
391427.cif,3.0,others,La1Ni1P1O1,order
400298.cif,9.985,others,Y2C2I2,order
407549.cif,0.095,others,Rh1In3,order
40760.cif,2.7,others,Y2Rh3Si5,order
410838.cif,5.52,others,Rh17S15,order
411884.cif,0.5,others,Ta1Ir1Si1,order
